GEPS WMS Empty Locations Report,,,
,,,
organization code,Sub Inventory Code,LOCATOR,Quantity 
ÿ H03,ÿNON-CAP,A.01.0H.12.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.01.0I.11.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.01.0I.12.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.01.0I.20.TW,ÿÿ0 
ÿ H03,ÿNON-CAP,A.01.0J.11.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.01.0J.12.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.01.1.01.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.01.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.01.FR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.01.HU,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.01.MX,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.02.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.02.FR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.02.HU,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.02.MX,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.02.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.03.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.03.KR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.03.MX,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.03.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.04.IN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.04.JP,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.04.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.05.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.05.PR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.05.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.06.KR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.06.PR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.06.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.07.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.08.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.09.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.10.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.11.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0A.12.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.01.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.01.FR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.01.HU,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.01.KR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.01.MX,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.01.PR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.01.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.02.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.02.FR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.02.HU,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.02.MX,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.02.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.03.CA,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.03.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.03.IN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.03.KR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.03.PR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.03.TW,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.03.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.04.CA,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.04.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.04.FR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.04.KR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.04.MX,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.04.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.05.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.05.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.06.CA,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.06.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.06.FR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.06.KR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.06.PR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.06.SE,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.06.TW,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.06.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.07.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.08.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.09.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.10.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.11.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0B.12.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.0.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.01.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.01.DE,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.01.DK,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.01.FR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.01.HU,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.01.KR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.01.MX,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.01.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.02.CA,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.02.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.02.FR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.02.HU,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.02.IN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.02.JP,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.02.KR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.02.MX,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.02.PR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.02.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.03.AU,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.03.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.04.BE,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.04.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.04.KR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.04.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.05.AU,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.05.KR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.05.PR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.05.TW,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.05.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.06.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.06.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.07.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.08.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.09.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.10.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.11.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0C.12.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.01.CA,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.01.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.01.DE,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.01.FR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.01.HU,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.01.IL,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.01.IN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.01.KR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.01.MX,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.01.TW,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.01.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.02.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.02.FR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.02.HU,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.02.IN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.02.KR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.02.MX,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.02.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.03.AD,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.03.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.03.FR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.03.MX,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.03.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.04.CA,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.04.DE,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.04.JP,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.04.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.05.AU,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.05.CA,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.05.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.05.DE,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.05.FR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.05.KR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.05.PL,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.05.PR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.05.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.06.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.06.KR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.06.TW,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.06.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.07.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.08.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.09.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.10.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.11.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0D.12.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.01.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.01.FR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.01.HU,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.01.MX,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.01.PR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.01.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.02.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.02.FR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.02.HU,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.02.JP,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.02.KR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.02.MX,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.02.PR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.02.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.03.FR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.03.MX,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.03.US,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.04.CN,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.04.KR,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.04.NO,ÿÿ0 
ÿ H03,ÿNON-CAP,A.02.0E.04.PL,ÿÿ0 
